1333069131 0
1334271067 2
1334342348 2
1335269672 7956
1335485332 7956
1335486701 7956
1335487009 8206
1335540494 8225
1335540916 8225
1335551857 8225
1335551911 8225
1335564875 8225
1335571300 8588
1335578337 8588
1335578760 8650
1335580050 8697
1335586788 8800
1335592440 8800
1335592959 8800
1335593091 8800
1335593696 8800
1335593861 8800
1335594185 8800
1335667536 8960
1335686411 9417
1335728683 9707
1335731996 9758
1335735134 9802
1335737417 9852
1335737770 9852
1335740221 9871
1335744048 9925
1335748475 9925
1335750040 9925
1335750240 9925
1335750958 9953
1335751631 9953
1335755489 9953
1335756685 9966
1335757139 9966
1335760967 9926
1335761196 9926
1335761532 9926
1335763698 9962
1335763854 9962
1335764264 9962
1335764392 9962
1335764442 10370
1335802081 10370
1335802474 10370
1335818061 10603
1335822349 11304
1336056355 11304
1336173298 11944
1336173380 11944
1336174990 11944
1336176294 11944
1336176529 11944
